Sample,Fitness,Fitness_std
LK5-E08,-0.06663271,0.01857088
LK5-E09,-0.014933995,0.001369363
LK5-F01,0.029027435,0.001767911
LK5-F03,-0.061319714000000004,0.002508937
LK5-F07,0.057171065,0.002264054
LK5-F08,0.015046178,0.011763226000000002
LK5-F10,-0.092640198,0.00342568
LK5-G01,-0.097400427,0.0036781929999999997
LK5-G03,-0.061380255,0.002108656
LK5-G09,0.000908654,0.00039876800000000003
LK5-H02,-0.034306781,0.0021580189999999997
LK5-H07,-0.016148315,0.001371246
LK5-H08,-0.000319424,0.013520636
LK5-H12,-0.023919485,0.0019929929999999998
LK6-A03,-0.071606045,0.003126813
LK6-A05,0.006446217,0.00291105
LK6-A07,-0.043732835,0.000799239
LK6-A09,-0.11869411699999999,0.006375402
LK6-A10,-0.087805455,0.013969185
LK6-A11,-0.101157306,0.003686965
LK6-B05,-0.006164366,0.000781425
LK6-B07,-0.016711953,0.0015164360000000001
LK6-B09,-0.06491301099999999,0.000742145
LK6-B10,0.029777902999999998,0.0013762779999999999
LK6-C02,-0.010438455,0.001253768
LK6-C05,-0.059662380999999994,0.00027315
LK6-C11,0.079424925,0.002621052
LK6-C12,0.049026118,0.0020620639999999997
LK6-D05,-0.043812384,0.011669628999999999
LK6-D06,-0.063374275,0.002516981
LK6-D07,-0.067901009,0.0008513139999999999
LK6-E02,-0.107711445,0.002363814
LK6-E04,-0.042724455,0.001921862
LK6-F03,-0.109289121,0.001342171
