Sample,Gen_Pop,Gen,Pop,Cond,Env,Fitness,Fitness_std,s_VLTE,s_VLTE_scaled,Clone_A_s,Clone_B_s,Clone_A_s_stderr,Clone_B_s_stderr
G7530_P3C03-SC_37C,G7530_P3C03,7530,P3C03,P3_SC_37C,SC_37C,0.04725498601301914,0.002492352206996184,0.06539787684781544,0.08509298060081566,0.04476263380602295,0.04974733822001532,0.00518775499642624,0.008641337461255241
G7530_P3D03-SC_37C,G7530_P3D03,7530,P3D03,P3_SC_37C,SC_37C,0.06295049805667396,0.01748690796845331,0.09300204544107056,0.11269714919407076,0.04546359008822065,0.08043740602512726,0.005972747843719175,0.010750835877850373
G7530_P3F03-SC_37C,G7530_P3F03,7530,P3F03,P3_SC_37C,SC_37C,0.054296097797098486,0.0017811486002804605,0.0706287830634088,0.09032388681640904,0.05607724639737895,0.052514949196818025,0.009595981389565763,0.00997836653480982
G7530_P3G02-SC_37C,G7530_P3G02,7530,P3G02,P3_SC_37C,SC_37C,0.06430000701129113,0.00041226911534038985,0.08265196557254109,0.10234706932554133,0.06471227612663152,0.06388773789595074,0.00964530196384093,0.011063476878629552
G7530_P3G05-SC_37C,G7530_P3G05,7530,P3G05,P3_SC_37C,SC_37C,0.052451620746730224,0.0077374097793178375,0.054067139205563636,0.07376224295856386,0.04471421096741239,0.060189030526048064,0.007317681593423242,0.007710141673056881
G7530_P3G06-SC_37C,G7530_P3G06,7530,P3G06,P3_SC_37C,SC_37C,0.06304983632393255,0.010458667719270459,0.10044592240206474,0.12014102615506494,0.05259116860466208,0.073508504043203,0.004561215911633294,0.006074230290324353
G10150_P1B04-SC_37C,G10150_P1B04,10150,P1B04,P1_SC_37C,SC_37C,-0.15367313334526975,0.01082834280656933,,,-0.16450147615183908,-0.14284479053870042,0.00904135189360085,0.007226012830920319
G10150_P1C04-SC_37C,G10150_P1C04,10150,P1C04,P1_SC_37C,SC_37C,-0.0045917252978698595,0.00461380043225973,,,2.20751343898715e-05,-0.009205525730129591,0.004064669599903953,0.00243865875812588
G10150_P1C05-SC_37C,G10150_P1C05,10150,P1C05,P1_SC_37C,SC_37C,-0.1700359490038973,,,,-0.1700359490038973,,0.010951166799809424,
G10150_P1D03-SC_37C,G10150_P1D03,10150,P1D03,P1_SC_37C,SC_37C,0.0037978808758518962,0.02718392004587977,,,-0.02338603917002788,0.03098180092173167,0.006195620516402377,0.004268213019532228
G10150_P1F05-SC_37C,G10150_P1F05,10150,P1F05,P1_SC_37C,SC_37C,,,,,,,,
G10150_P1G04-SC_37C,G10150_P1G04,10150,P1G04,P1_SC_37C,SC_37C,0.049197213518612164,0.008474456657349146,,,0.0576716701759613,0.04072275686126301,0.0052478924070717345,0.003670588257195305
G1410_P1B04-SC_37C,G1410_P1B04,1410,P1B04,P1_SC_37C,SC_37C,0.0023085537009807392,0.01109861108786299,,,0.01340716478884373,-0.008790057386882254,0.002856885473821745,0.0021314630095942686
G1410_P1C04-SC_37C,G1410_P1C04,1410,P1C04,P1_SC_37C,SC_37C,0.019912652803895026,0.014618560540075513,,,0.03453121334397054,0.005294092263819508,0.0005531577782838394,8.957994898815457e-05
G1410_P1C05-SC_37C,G1410_P1C05,1410,P1C05,P1_SC_37C,SC_37C,-0.0651520425808699,0.0022611779341317547,,,-0.06289086464673814,-0.06741322051500165,8.86820691635552e-05,0.004421120656972906
G1410_P1D03-SC_37C,G1410_P1D03,1410,P1D03,P1_SC_37C,SC_37C,0.013628508657498182,0.01393258847632217,,,-0.00030407981882399023,0.027561097133820357,0.00167376123656544,0.0016380960591746805
G1410_P1F05-SC_37C,G1410_P1F05,1410,P1F05,P1_SC_37C,SC_37C,-0.005036179957325615,0.01961202965886132,,,0.014575849701535703,-0.02464820961618693,0.002900346313359664,0.00025825434044913955
G1410_P1G04-SC_37C,G1410_P1G04,1410,P1G04,P1_SC_37C,SC_37C,0.0481216486476586,0.0021026227713245647,,,0.05022427141898317,0.04601902587633404,0.0071240270067951484,0.004722677013842457
G2640_P1B04-SC_37C,G2640_P1B04,2640,P1B04,P1_SC_37C,SC_37C,0.011367672421795056,0.002646452816360257,,,0.014014125238155314,0.008721219605434798,0.00027045532240166966,0.00168481191302378
G2640_P1C04-SC_37C,G2640_P1C04,2640,P1C04,P1_SC_37C,SC_37C,-0.03654299372365321,0.01595909418304394,,,-0.02058389954060927,-0.05250208790669715,0.005073527998751994,0.004568711427529213
G2640_P1C05-SC_37C,G2640_P1C05,2640,P1C05,P1_SC_37C,SC_37C,-0.1439322032544303,0.07766179694003421,,,-0.06627040631439607,-0.2215940001944645,0.0006661094367328555,0.002313992802671468
G2640_P1D03-SC_37C,G2640_P1D03,2640,P1D03,P1_SC_37C,SC_37C,0.050445852405029364,0.003842523559698749,,,0.046603328845330604,0.0542883759647281,0.0070247702186995095,0.009549615124553115
G2640_P1F05-SC_37C,G2640_P1F05,2640,P1F05,P1_SC_37C,SC_37C,0.04085885100751388,0.011000245169369195,,,0.029858605838144682,0.05185909617688307,0.000813746564272771,0.0074497383507768425
G2640_P1G04-SC_37C,G2640_P1G04,2640,P1G04,P1_SC_37C,SC_37C,0.02391715155306575,0.034527519921233665,,,0.058444671474299416,-0.010610368368167906,0.0018370553253732496,0.003009383526585144
G5150_P1B04-SC_37C,G5150_P1B04,5150,P1B04,P1_SC_37C,SC_37C,-0.1971180963680744,0.0063598923213136465,,,-0.19075820404676075,-0.20347798868938805,0.025526213678490912,0.0269200025785825
G5150_P1C04-SC_37C,G5150_P1C04,5150,P1C04,P1_SC_37C,SC_37C,-0.0002941812614756737,0.015374449478531869,,,-0.015668630740007544,0.015080268217056197,0.0025626903145273016,0.00471205678382693
G5150_P1C05-SC_37C,G5150_P1C05,5150,P1C05,P1_SC_37C,SC_37C,-0.2572062657845857,0.08196529933107706,,,-0.17524096645350867,-0.3391715651156628,0.009654942015980751,0.03318328976806372
G5150_P1D03-SC_37C,G5150_P1D03,5150,P1D03,P1_SC_37C,SC_37C,0.0059903910828747395,0.0094363191062978,,,0.01542671018917254,-0.003445928023423063,0.0022094788311165696,0.0007863838488407263
G5150_P1F05-SC_37C,G5150_P1F05,5150,P1F05,P1_SC_37C,SC_37C,-0.08551333389101129,0.03539480106776737,,,-0.05011853282324392,-0.12090813495877868,0.003328667735992213,0.007371692688040959
G5150_P1G04-SC_37C,G5150_P1G04,5150,P1G04,P1_SC_37C,SC_37C,0.022523011586265004,0.045599606614632866,,,-0.023076595028367862,0.06812261820089788,0.0010697795191689273,0.004077721563011067
G70_P1B04-SC_37C,G70_P1B04,70,P1B04,P1_SC_37C,SC_37C,-0.08728939459946239,0.004400961140674897,,,-0.09169035574013727,-0.08288843345878749,0.002222469683255983,0.0030038576476473203
G70_P1C04-SC_37C,G70_P1C04,70,P1C04,P1_SC_37C,SC_37C,-0.1673649261542378,0.06802477027364758,,,-0.09934015588059024,-0.23538969642788535,0.008586619401658082,0.0012250431811691432
G70_P1C05-SC_37C,G70_P1C05,70,P1C05,P1_SC_37C,SC_37C,-0.1833927699080191,0.006715356081332807,,,-0.17667741382668628,-0.1901081259893519,0.01318277264914307,0.0043459121681903344
G70_P1D03-SC_37C,G70_P1D03,70,P1D03,P1_SC_37C,SC_37C,-0.04112809507476072,0.015240479119603247,,,-0.025887615955157463,-0.05636857419436396,0.005378259632262046,0.0008229573016523289
G70_P1F05-SC_37C,G70_P1F05,70,P1F05,P1_SC_37C,SC_37C,-0.09228987622481004,0.004035108814951352,,,-0.08825476740985869,-0.0963249850397614,0.0038795530606911773,0.0028075228785649844
G70_P1G04-SC_37C,G70_P1G04,70,P1G04,P1_SC_37C,SC_37C,-0.08429432473031152,0.0005925420236737726,,,-0.0848868667539853,-0.08370178270663775,0.0017952381041079913,0.005127670835482141
G7530_P1B04-SC_37C,G7530_P1B04,7530,P1B04,P1_SC_37C,SC_37C,-0.3782130048664812,0.0666496352069531,,,-0.3115633696595281,-0.4448626400734343,0.011632739740710659,0.05291770325631487
G7530_P1C04-SC_37C,G7530_P1C04,7530,P1C04,P1_SC_37C,SC_37C,-0.0014529669721585134,0.005673230076864089,,,0.004220263104705576,-0.007126197049022603,0.0018805931947768293,0.0024796514939610967
G7530_P1C05-SC_37C,G7530_P1C05,7530,P1C05,P1_SC_37C,SC_37C,-0.44574348489263294,0.008982535098613824,,,-0.4547260199912468,-0.4367609497940192,0.00962880106446288,0.027798166213164083
G7530_P1D03-SC_37C,G7530_P1D03,7530,P1D03,P1_SC_37C,SC_37C,-0.026707981208823527,0.00371685430141366,,,-0.022991126907409863,-0.03042483551023718,0.0048552554469659896,0.0043617818281624495
G7530_P1F05-SC_37C,G7530_P1F05,7530,P1F05,P1_SC_37C,SC_37C,-0.15446507124658868,0.004390718722949549,,,-0.15885578996953822,-0.15007435252363913,0.030692761261486495,0.019266542263932183
G7530_P1G04-SC_37C,G7530_P1G04,7530,P1G04,P1_SC_37C,SC_37C,0.07844787938557325,0.0004256632488290196,,,0.07887354263440227,0.07802221613674422,0.004975838992557551,0.004294778645520004
